"","en","af","am","ar","as","az","be","bg","bn","bs","cs","da","de","dv","el","es","et","fa","fi","fr","ga","he","hi","hr","hy","id","is","it","ja","jv","ka","kk","ko","ky","lb","lt","lv","mk","mn","ms","mt","my","ne","nl","no","pl","ps","pt","ro","ru","sk","sl","so","sq","sr","su","sv","sw","tg","th","tk","tl","tr","uk","ur","uz","vi","zh"
"foreign-source","foreign-source","buitelandse-bron","የውጭ-ምንጭ","مصدر أجنبي","বিদেশী-উৎস","xarici mənbə","замежны-крыніца","чуждестранен източник","বিদেশী উৎস","strani izvor","zahraniční zdroj","udenlandsk kilde","ausländische Quelle","ބޭރުގެ މަސްދަރެކެވެ","ξένη πηγή","fuente extranjera","välismaa allikas","منبع خارجی","ulkomainen lähde","source étrangère","foinse iasachta","מקור זר","विदेशी स्रोत","strani-izvor","արտասահմանյան աղբյուր","sumber asing","erlend-uppspretta","fonte straniera","外部ソース","sumber manca","უცხოური წყარო","шетелдік дереккөз","외국 소스","чет элдик булак","auslännesch Quell","užsienio šaltinis","ārzemju avots","странски-извор","гадаад эх сурвалж","sumber asing","sors barrani","နိုင်ငံခြားရင်းမြစ်","विदेशी स्रोत","buitenlandse bron","utenlandsk kilde","źródło zagraniczne","بهرنۍ سرچینه","fonte estrangeira","sursă străină","иностранный источник","zahraničný zdroj","tuji vir","Ilaha shisheeye","burim i huaj","страни-извор","asing-sumber","utländsk källa","chanzo cha kigeni","манбаи хориҷӣ","แหล่งที่มาต่างประเทศ","daşary ýurt çeşmesi","foreign-source","yabancı kaynak","іноземне джерело","غیر ملکی ذریعہ","xorijiy manba","nguồn nước ngoài","外国来源"
"pre-disability","pre-disability","pre-gestremdheid","ቅድመ-አካል ጉዳት","ما قبل الإعاقة","প্ৰি-ডিচেবিলিটি","qabaqcadan əlillik","перад інваліднасцю","преди увреждането","প্রাক-অক্ষমতা","pre invaliditeta","před invaliditou","præ-invaliditet","Vorbehinderung","ޕްރީ ޑިސެބިލިޓީ އެވެ","προ-αναπηρίας","prediscapacidad","eelpuudega","پیش از ناتوانی","esivammaisuus","pré-invalidité","réamh-mhíchumas","טרום נכות","पूर्व-विकलांगता","prije invaliditeta","նախահաշմանդամություն","pra-cacat","fyrir örorku","pre-invalidità","障害前","pra-cacat","წინასწარი ინვალიდობა","мүгедектікке дейінгі","예비 장애","алдын ала майыптык","Pre-Behënnerung","iki negalios","pirms invaliditātes","пред инвалидитет","өмнөх хөгжлийн бэрхшээл","pra-kecacatan","qabel id-diżabilità","အကြိုမသန်စွမ်းမှု","पूर्व-अशक्तता","pre-handicap","før funksjonshemming","stan przedniepełnosprawności","مخکې معیوبیت","pré-incapacidade","pre-invaliditate","предварительная инвалидность","pred invaliditou","pred invalidnostjo","naafo ka hor","para paaftësisë","пре инвалидитета","pra-cacad","pre-handikapp","kabla ya ulemavu","пеш аз маъюбӣ","ก่อนพิการ","maýyplykdan öňki","pre-disability","engellilik öncesi","перед інвалідністю","قبل از معذوری","oldingi nogironlik","tiền khuyết tật","残疾前"
"expenses","expenses","uitgawes","ወጪዎች","نفقات","খৰচ","xərc","выдаткі","разходи","খরচ","troškovi","výdaje","udgifter","Kosten","ހަރަދުތައް","έξοδα","gastos","kulud","هزینه ها","kulut","dépenses","speansais","הוצאות","खर्च","troškovi","ծախսերը","pengeluaran","útgjöld","spese","経費","biaya","ხარჯები","шығындар","경비","чыгымдар","Ausgaben","išlaidas","izdevumiem","трошоци","зардал","perbelanjaan","spejjeż","ကုန်ကျစရိတ်","खर्च","uitgaven","utgifter","wydatki","لګښتونه","despesas","cheltuieli","затраты","výdavky","stroški","kharashaadka","shpenzimet","трошкови","waragad","utgifter","gharama","харочот","ค่าใช้จ่าย","çykdajylary","gastos","masraflar","витрати","اخراجات","xarajatlar","chi phí","花费"
"wealth","wealth","rykdom","ሀብት","ثروة","সম্পত্তি","sərvət","багацце","богатство","ধন","bogatstvo","bohatství","rigdom","Reichtum","މުދާ","πλούτος","riqueza","rikkust","ثروت","varallisuus","richesse","saibhreas","עוֹשֶׁר","संपदा","bogatstvo","հարստություն","kekayaan","auð","ricchezza","富","kasugihan","სიმდიდრე","байлық","재산","байлык","Räichtum","turtus","bagātība","богатство","эд баялаг","kekayaan","ġid","စည်းစိမ်ဥစ္စာ","धन","rijkdom","rikdom","bogactwo","شتمني","fortuna","bogatie","богатство","bohatstvo","bogastvo","maal","pasurinë","богатство","kabeungharan","rikedom","utajiri","сарват","ความมั่งคั่ง","baýlyk","kayamanan","varlık","багатство","دولت","boylik","sự giàu có","财富"
"subsistence-level","subsistence-level","bestaansvlak","የመተዳደሪያ ደረጃ","مستوى الكفاف","জীৱিকাৰ স্তৰ","yaşayış səviyyəsi","пражытачны мінімум","екзистенц-минимум","জীবিকা-স্তর","egzistencijalni nivo","životní minimum","eksistensniveau","Existenzminimum","ދިރިއުޅުމުގެ ފެންވަރުގައި","επίπεδο διαβίωσης","nivel de subsistencia","toimetulekupiir","سطح معیشتی","toimeentulotason","niveau de subsistance","leibhéal cothabhála","רמת קיום","जीवन निर्वाह - स्तर","egzistencijalni minimum","կենսապահովման մակարդակ","tingkat subsisten","framfærsluviðmið","livello di sussistenza","生活レベル","tingkat subsistensi","საარსებო დონეზე","ең төменгі күнкөріс деңгейі","생존 수준","жашоо деңгээли","Existenzleeschtung","pragyvenimo lygis","iztikas minimums","егзистенцијално ниво","амьжиргааны түвшин","peringkat sara hidup","livell ta’ sussistenza","စားဝတ်နေရေးအဆင့်","निर्वाह-स्तर","bestaansminimum","eksistensnivå","poziom egzystencji","د ژوند کچه","nível de subsistência","nivel de subzistență","прожиточный минимум","životného minima","eksistenčni minimum","heerka nolosha","niveli i jetesës","егзистенцијални ниво","tingkat subsistence","existensminimum","kiwango cha kujikimu","сатҳи зиндагӣ","ระดับการยังชีพ","ýaşaýyş derejesi","antas ng kabuhayan","geçim düzeyi","прожитковий мінімум","رزق کی سطح","yashash darajasi","mức sinh hoạt phí","生存水平"
"annuity","annuity","annuïteit","አበል","دخل سنوي","বাৰ্ষিকী","annuitet","ануітэт","анюитет","বার্ষিক","anuitet","anuita","livrente","Rente","އެނިއުޓީ އެވެ","πρόσοδος","anualidad","annuiteet","سالیانه","annuiteetti","rente","blianacht","אַנוֹנָה","वार्षिकी","anuitet","անուիտետ","anuitas","lífeyri","rendita","年金","anuitas","ანუიტეტი","аннуитет","연금","аннуитет","annuitéit","anuitetas","mūža rente","ануитет","аннуитет","anuiti","annwalità","နှစ်စဉ်ကြေး","वार्षिकी","lijfrente","livrente","renta","کلنۍ","anuidade","anuitate","аннуитет","renta","renta","magdhow","pensioni vjetor","ануитет","annuity","livränta","malipo ya mwaka","аннуитет","เงินงวด","ýyllyk","annuity","yıllık maaş","ануїтет","سالانہ","annuitet","niên kim","年金"
"cashflow","cashflow","kontantvloei","የገንዘብ ፍሰት","نقد متدفق","কেছ ফ্ল","Maliyyə axını","грашовы паток","паричен поток","নগদ প্রবাহ","priliv novca","tok peněz","pengestrøm","Bargeldumlauf","ކޭޝްފްލޯ އެވެ","ταμειακή ροή","Flujo de efectivo","rahavool","جریان نقدی","kassavirta","flux de trésorerie","sreabhadh airgid","תזרים מזומנים","नकदी प्रवाह","protok novca","դրամական հոսք","arus kas","peningaflæði","flusso monetario","現金流量","arus kas","ფულადი სახსრების დინება","ақша ағыны","현금 흐름","акча агымы","cashflow","pinigų srautas","naudas plūsma","готовински тек","бэлэн мөнгөний урсгал","aliran tunai","likwidità","ငွေလည်ပတ်မှု","नगद प्रवाह","geldstroom","kontantstrøm","przepływ gotówki","نغدي جریان","fluxo de caixa","fluxul de numerar","поток наличных денег","cashflow","denarni tok","lacag caddaan ah","rrjedhjen e parasë","проток новца","aliran kas","pengaflöde","mzunguko wa fedha","ҷараёни нақдина","กระแสเงินสด","pul akymy","cashflow","nakit akımı","грошовий потік","کیش فلو","pul oqimi","dòng tiền","现金周转"
"investment","investment","belegging","ኢንቨስትመንት","استثمار","বিনিয়োগ","investisiya","інвестыцыі","инвестиции","বিনিয়োগ","ulaganja","investice","investering","Anlage","އިންވެސްޓްމަންޓެވެ","επένδυση","inversión","investeering","سرمایه گذاری","investointi","investissement","infheistíocht","הַשׁקָעָה","निवेश","ulaganje","ներդրում","investasi","fjárfesting","investimento","投資","investasi","ინვესტიცია","инвестиция","투자","инвестиция","Investitioun","investicija","investīcijas","инвестиција","хөрөнгө оруулалт","pelaburan","investiment","ရင်းနှီးမြှုပ်နှံမှု","लगानी","investering","investering","inwestycja","پانګه اچونه","investimento","investitie","инвестиции","investície","naložba","maalgashiga","investimi","улагања","investasi","investering","uwekezaji","сармоягузорӣ","การลงทุน","maýa goýumlary","pamumuhunan","yatırım","інвестиції","سرمایہ کاری","sarmoya","sự đầu tư","投资"
"dividends","dividends","dividende","ክፍፍሎች","أرباح","লভ্যাংশ","dividendlər","дывідэнды","дивиденти","লভ্যাংশ","dividende","dividendy","udbytte","Dividenden","ޑިވިޑެންޑް","μερίσματα","dividendos","dividendid","سود سهام","osinkoja","dividendes","díbhinní","דיבידנדים","लाभांश","dividende","շահաբաժիններ","dividen","arðgreiðslur","dividendi","配当","dividen","დივიდენდები","дивидендтер","배당금","дивиденддер","Dividenden","dividendai","dividendes","дивиденди","ногдол ашиг","dividen","dividendi","အမြတ်ဝေစု","लाभांश","dividenden","utbytte","dywidendy","ونډې","dividendos","dividendele","дивиденды","dividendy","dividende","saami qaybsiga","dividentët","дивиденде","sharing","utdelningar","gawio","дивидендҳо","เงินปันผล","diwidendler","mga dibidendo","temettüler","дивіденди","منافع","dividendlar","cổ tức","分红"
"beauty","beauty","skoonheid","ውበት","جمال","সৌন্দৰ্য","gözəllik","прыгажосць","красота","সৌন্দর্য","ljepota","krása","skønhed","Schönheit","ރީތިކަން","ομορφιά","belleza","ilu","زیبایی","kauneus","beauté","áilleacht","יוֹפִי","सुंदरता","ljepota","գեղեցկություն","Kecantikan","fegurð","bellezza","美しさ","kaendahan","სილამაზე","сұлулық","아름다움","сулуулук","Schéinheet","grožis","skaistums","убавина","гоо сайхан","kecantikan","sbuħija","အလှတရား","सौन्दर्य","schoonheid","skjønnhet","piękno","ښکلا","beleza","frumuseţe","красота","krása","lepota","qurux","bukuri","лепота","kageulisan","skönhet","uzuri","зебоӣ","ความงาม","gözellik","kagandahan","güzellik","краса","خوبصورتی","go'zallik","sắc đẹp, vẻ đẹp","美丽"
"allure","allure","aanloklikheid","ማባበል","إغراء","allure","cazibədarlıq","прывабнасць","привлекателност","মোহন","allure","lákat","lokke","locken","އެލައުރ","δελεάζω","seducir","võlu","جذابیت","houkutteleva","séduire","allure","קֶסֶם","फुसलाना","vabiti","գրավչություն","daya tarik","aðdráttarafl","fascino","魅力","narik kawigaten","მიმზიდველობა","тартымдылық","매력","тартуу","allure","viliojimas","vilinājums","привлечност","сэтгэл татам","memikat","allure","ဖြားယောင်း","आकर्षण","verleiden","lokke","wabić","جذب","fascínio","alura","очарование","lákadlom","privlačnost","soo jiidasho","joshje","привлачност","pikabitaeun","locka","kuvutia","љолиб","จูงใจ","allure","pang-akit","albeni","привабливість","رغبت","jozibali","quyến rũ","引诱"
"charm","charm","sjarme","ማራኪ","سحر","charm","cazibədarlıq","зачараванне","чар","কবজ","šarm","kouzlo","charme","Charme","ޗާމް","γοητεία","encanto","võlu","افسون","viehätys","charme","charm","קסם","आकर्षण","šarm","հմայքը","pesona","heilla","fascino","魅力","pesona","ხიბლი","сүйкімділік","매력","сүйкүмдүүлүк","charme","žavesio","šarms","шарм","сэтгэл татам","Pesona","seħer","ကျက်သရေ","आकर्षण","charme","sjarm","czar","زړه راښکونکی","charme","farmec","очарование","čaro","čar","soo jiidasho","hijeshi","шарм","pesona","charm","haiba","дилрабоӣ","เสน่ห์","jady","alindog","cazibe","чарівність","دلکش","joziba","quyến rũ","魅力"
"elegance","elegance","elegansie","ውበት","أناقة","আড়ম্বৰ","zəriflik","элегантнасць","елегантност","কমনীয়তা","elegancija","elegance","elegance","Eleganz","އެލެގަންސް އެވެ","κομψότητα","elegancia","elegants","ظرافت","eleganssi","élégance","galántacht","אֵלֶגַנטִיוּת","लालित्य","elegancija","էլեգանտություն","keanggunan","glæsileika","eleganza","優雅","keanggunan","ელეგანტურობა","талғампаздық","우아","көрктүүлүк","Eleganz","elegancija","elegance","елеганција","дэгжин байдал","keanggunan","eleganti","ကျက်သရေရှိသည်။","भव्यता","elegantie","eleganse","elegancja","ښکلا","elegância","eleganţă","элегантность","elegancia","eleganca","xarrago","elegancën","елеганција","kaanggunan","elegans","umaridadi","зебоӣ","ความสง่างาม","nepislik","kakisigan","zarafet","елегантність","خوبصورتی","nafislik","sang trọng","优雅"
"grace","grace","genade","ጸጋ","نعمة او وقت سماح","অনুগ্ৰহ","lütf","ласка","благодат","অনুগ্রহ","grace","milost","nåde","Anmut","ނިޢުމަތެވެ","χάρη","gracia","armu","رحمت","armo","la grâce","grásta","חן","कृपा","milost","շնորհք","berkah","náð","adornare","グレース","sih-rahmat","მადლი","әсемдік","우아함","ырайым","Gnod","malonė","žēlastība","милоста","нигүүлсэл","rahmat","grazzja","ကျေးဇူးတော်","अनुग्रह","elegantie","nåde","wdzięk","فضل","graça","graţie","Грейс","milosť","milost","nimco","hiri","грациозност","rahmat","nåd","neema","файз","พระคุณ","merhemet","biyaya","lütuf","благодать","فضل","inoyat","duyên dáng","优雅"
"lovely","lovely","lieflik","ቆንጆ","محبوب","ধুনীয়া","sevimli","выдатны","прекрасно","সুন্দর","divno","půvabný","dejlig","schön","ލޮބުވެތި","ωραίος","encantador","armas","دوست داشتني","ihana","joli","álainn","חביב","प्यारा","lijep","սիրուն","menyenangkan","yndisleg","bello","素晴らしい","apik tenan","საყვარელი","сүйкімді","사랑스러운","сүйкүмдүү","léif","miela","jauki","прекрасна","хөөрхөн","indah","sabiħ","ချစ်စရာကောင်းတဲ့","प्यारो","lief","herlig","śliczny","ښکلی","adorável","minunat","прекрасный","krásne","lepo","qurux badan","bukuroshe","љупки","denok","härlig","kupendeza","зебо","น่ารัก","owadan","kaibig-ibig","sevimli","мило","پیارا","yoqimli","đẹp","迷人的"
"handsome","handsome","aantreklik","ቆንጆ","وسيم","দেখনিয়াৰ","yaraşıqlı","прыгожы","красив","সুদর্শন","zgodan","hezký","smuk","gutaussehend","ރީތި","όμορφος","elegante","nägus","خوش قیافه","komea","Beau","dathúil","יפה תואר","आकर्षक","zgodan","գեղեցիկ","tampan","myndarlegur","bello","ハンサム","ganteng","სიმპათიური","әдемі","멋있는","сулуу","schéin","gražuolis","izskatīgs","згоден","царайлаг","kacak","gustuż","လူချော","सुन्दर","knap","kjekk","przystojny","ښکلی","jeitoso","frumos","красивый","fešák","čeden","qurux badan","i pashëm","згодан","ganteng","stilig","mrembo","зебо","หล่อ","görmegeý","gwapo","yakışıklı","красивий","خوبصورت","kelishgan","điển trai","英俊"
"attractive","attractive","aantreklik","ማራኪ","ملفت للانتباه","আকৰ্ষণীয়","cəlbedici","прывабны","атрактивен","আকর্ষণীয়","atraktivno","přitažlivý","tiltrækkende","attraktiv","ހިތްކިޔުން","ελκυστικός","atractivo","atraktiivne","جذاب","viehättävä","attractif","tarraingteach","מוֹשֵׁך","आकर्षक","atraktivan","գրավիչ","menarik","aðlaðandi","attraente","魅力的","atraktif","მიმზიდველი","тартымды","매력적인","жагымдуу","attraktiv","patrauklus","pievilcīgs","привлечни","сэтгэл татам","menarik","attraenti","ဆွဲဆောင်မှု","आकर्षक","aantrekkelijk","attraktive","atrakcyjny","زړه راښکونکی","atraente","atractiv","привлекательный","atraktívne","privlačna","soo jiidasho leh","tërheqëse","привлачан","pikaresepeun","attraktiv","kuvutia","љолиб","มีเสน่ห์","özüne çekiji","kaakit-akit","çekici","привабливий","پر کشش","jozibali","lôi cuốn","吸引人的"
"pretty","pretty","mooi","ቆንጆ","جميل","মৰমলগা","gözəl","даволі","красива","সুন্দর","prilično","dosti","smuk","hübsch","ރިވެތި","αρκετά","bastante","ilus","بسیار","nätti","jolie","deas","יפה","सुंदर हे","prilično","գեղեցիկ","cantik","laglegur","bello","可愛い","ayu","ლამაზი","әдемі","예쁜","сулуу","flott","graži","smuki","убава","хөөрхөн","cantik","pretty","လှတယ်။","सुन्दर","mooi","ganske","piękny","ښایسته","bonito","frumos","Симпатичная","pekná","lepa","quruxsan","goxha","прилично","geulis","Söt","nzuri","зебо","สวย","owadan","maganda","güzel","гарна","خوبصورت","go'zal","khá","漂亮的"
"unattractive","unattractive","onaantreklik","የማይስብ","غير جذاب","অনাকৰ্ষণীয়","cəlbedici deyil","непрывабны","непривлекателен","অনাকর্ষণীয়","neprivlačan","neatraktivní","uattraktivt","unattraktiv","ޝައުގުވެރި ނުވާ އެއްޗެކެވެ","μη ελκυστικος","no atractivo","ebaatraktiivne","غیر جذاب","houkuttelematon","peu attrayant","neamhtharraingteach","לא מושך","बदसूरत","neprivlačan","անհրապույր","kurang menarik","óaðlaðandi","poco attraente","魅力的でない","ora atraktif","არამიმზიდველი","тартымсыз","매력적이지 않은","жагымсыз","onattraktiv","nepatrauklus","nepievilcīgs","непривлечна","сонирхолгүй","tidak menarik","mhux attraenti","ဆွဲဆောင်မှုမရှိ","अनाकर्षक","onaantrekkelijk","uattraktiv","nieładny","نه جذاب","pouco atraente","neatractiv","непривлекательный","neatraktívne","neprivlačna","aan soo jiidasho lahayn","jo tërheqëse","непривлачан","teu pikaresepeun","oattraktiv","isiyovutia","љолиб","ขี้เหร่","özüne çekiji","hindi kaakit-akit","çekici olmayan","непривабливий","غیر کشش","yoqimsiz","không hấp dẫn","没有吸引力"
"unappealing","unappealing","onaantreklik","የማይግባባ","غير جذابة","অনাকৰ্ষণীয়","cazibəsiz","непрывабны","непривлекателен","অপার্থিব","neprivlačan","neatraktivní","utiltalende","unattraktiv","އިސްތިއުނާފު ނުކުރެއެވެ","μη ελκυστικό","poco atractivo","mittemeeldiv","غیر جذاب","epämiellyttävä","peu attrayant","neamhtharraingteach","לא מושך","अनाकर्षक","neumoljiv","ոչ գրավիչ","tidak menarik","óaðlaðandi","poco attraente","魅力的でない","ora nyenengake","არამიმზიდველი","тартымсыз","매력적이지 않은","жагымсыз","unappealing","nepatrauklus","nepievilcīgs","непривлечна","тааламжгүй","tidak menarik","mhux attraenti","နှစ်သက်စရာ","मन नपर्ने","onaantrekkelijk","lite tiltalende","nieatrakcyjne","نه زړه راښکونکی","desagradável","neatrăgătoare","непривлекательный","nepríťažlivý","neprivlačna","aan racfaan lahayn","jo tërheqës","непривлачан","teu pikaresepeun","föga tilltalande","isiyovutia","нописанд","ไม่สวย","ýakymsyz","hindi kaakit-akit","çekici olmayan","непривабливий","غیر دلکش","yoqimsiz","không hấp dẫn","没有吸引力"
"hideous","hideous","afskuwelik","አሳፋሪ","بشع","জঘন্য","iyrənc","агідны","отвратителен","জঘন্য","odvratno","ošklivý","hæslig","abscheulich","ނަފްރަތު އުފެދޭ އެއްޗެކެވެ","βδελυρός","horrible","kole","زشت و زننده","hirveä","hideux","folach","מְכוֹעָר","भयंकर","odvratan","զարհուրելի","mengerikan","forljótur","orribile","恐ろしいです","ngeri","ამაზრზენი","қорқынышты","끔찍하다","жийиркеничтүү","schrecklech","baisu","pretīgs","грозоморно","аймшигтай","mengerikan","hideous","ရှက်စရာ","घिनलाग्दो","afschuwelijk","skrekkelig","ohydny","وحشتناک","hediondo","hidos","отвратительный","ohyzdný","ostudno","foosha","e tmerrshme","одвратан","pikasieuneun","otäck","ya kutisha","зишт","น่าเกลียด","ýigrenji","kahindik-hindik","iğrenç","огидний","گھناؤنا","yoqimsiz","gớm ghiếc","可怕"
"repulsive","repulsive","afstootlik","አስጸያፊ","تنافرى","repulsive","iyrənc","адштурхвае","отблъскващ","বিকর্ষণকারী","odbojan","odporný","frastødende","abstoßend","ރިޕަލްސިވް އެވެ","αποκρουστικός","repulsivo","eemaletõukav","دافعه","vastenmielinen","repoussant","repulsive","דוֹחֶה","प्रतिकारक","odbojan","վանող","menjijikkan","fráhrindandi","ripugnante","反発的な","njijiki","ამაღელვებელი","жиіркенішті","혐오스러운","жийиркеничтүү","repulsiv","atstumiantis","atbaidošs","одбивни","зэвүүн","menjijikkan","repulsiv","စက်ဆုပ်ဖွယ်","घृणित","weerzinwekkend","frastøtende","odpychający","کرغیړن","repulsivo","respingător","отталкивающий","odpudzujúce","odbijajoče","wax laga xumaado","neveritëse","одбојан","repulsive","motbjudande","yenye kuchukiza","нафратовар","น่ารังเกียจ","ýigrenji","nakakadiri","itici","відразливий","مکروہ","jirkanch","ghê tởm","丑恶"
"frightful","frightful","skrikwekkend","አስፈሪ","مخيف","ভয়ংকৰ","qorxulu","страшна","страшно","ভয়ঙ্কর","strašno","strašný","skræmmende","schrecklich","ބިރުވެރި ކަމެކެވެ","τρομερός","espantoso","hirmutav","ترسناک","pelottavaa","affreux","scanrúil","מַפְחִיד","भयंकर","zastrašujuće","սարսափելի","mengerikan","hræðilegt","spaventoso","恐ろしい","ngeri","შემზარავი","қорқынышты","무서운","коркунучтуу","schrecklech","baisu","biedējoši","застрашувачки","аймаар","menakutkan","tal-biża","ကြောက်စရာ","डरलाग्दो","angstaanjagend","skremmende","straszny","ډارونکی","assustador","înfricoșător","ужасный","strašný","strašno","cabsi badan","e frikshme","страшно","pikasieuneun","förskräcklig","ya kutisha","даҳшатовар","น่ากลัว","gorkunç","nakakatakot","korkunç","страшний","خوفناک","qo'rqinchli","khủng khiếp","可怕"
"grim","grim","grimmig","አሳዛኝ","متجهم","গ্ৰিম","əzazil","змрочны","мрачен","গম্ভীর","mračan","ponurý","barsk","grimmig","ގްރިމް އެވެ","βλοσυρός","severo","sünge","تلخ","synkkä","sombre","gruama","זוֹעֵף","विकट","mrgodan","մռայլ","suram","grimmur","cupo","厳しい","surem","მწარე","сұмдық","암울한","кайгылуу","grim","niūrūs","drūms","мрачен","баргар","suram","skura","သိပ်မကွာဘူး။","गम्भीर","grimmig","uhyggelig","ponury","سخت","sinistro","rău","мрачный","ponurý","mračno","murugo","e zymtë","мрачан","surem","dyster","mbaya","даҳшатнок","น่ากลัว","elhenç","malupit","acımasız","похмурий","سنگین","dahshatli","nghiệt ngã","严峻"
"repugnant","repugnant","weersinwekkend","አስጸያፊ","بغيضة","ঘৃণনীয়","iyrənc","агідны","отвратителен","বিরোধী","odvratan","odporný","frastødende","abstoßend","ނަފްރަތު އުފެދޭ އެއްޗެކެވެ","απεχθής","repugnante","vastumeelne","متناقض","vastenmielinen","répugnant","repugnant","דוֹחֶה","प्रतिकूल","odvratan","գարշելի","menjijikkan","fráhrindandi","ripugnante","嫌な","nistha","საზიზღარი","жиіркенішті","지겨운","жийиркеничтүү","widderspréchlech","atstumiantis","pretīgs","одвратен","зэвүүн","menjijikkan","ripugnanti","ရွံစရာ","विरोधी","weerzinwekkend","motbydelig","odrażający","ضد","repugnante","respingător","отвратительный","odporný","odvratno","canaan badan","e neveritshme","одвратан","repugnant","motbjudande","kuchukiza","нафратовар","น่ารังเกียจ","ýigrenji","nakakadiri","iğrenç","огидний","نفرت انگیز","jirkanch","ghê tởm","讨厌的"
"plain","plain","eenvoudig","ግልጽ","سهل","সমতল","düz","просты","обикновена","সমতল","običan","prostý","almindeligt","schmucklos","އާދައިގެ","πεδιάδα","plano","tavaline","جلگه","tavallinen","plaine","plain","מישור","मैदान","običan","պարզ","polos","látlaus","pianura","プレーン","polos","სადა","жазық","솔직한","жөнөкөй","einfach","paprastas","vienkāršs","обичен","энгийн","kosong","sempliċi","လွင်ပြင်","सादा","vlak","vanlig","Równina","ساده","avião","simplu","простой","prostý","navaden","cad","i thjeshtë","обичан","polos","enkel","wazi","оддӣ","ที่ราบ","sada","payak","sade","звичайний","سادہ","oddiy","trơn","清楚的"
"accomplishment","accomplishment","prestasie","ስኬት","إنجاز","সাফল্য","nailiyyət","дасягненне","постижение","সিদ্ধি","postignuće","dosažení","præstation","Leistung","ހާސިލްކުރުން","εκπλήρωση","logro","saavutus","دستاورد","saavutus","accomplissement","éacht","הישג","उपलब्धि","postignuće","ավարտելը","prestasi","afrek","realizzazione","達成","prestasi","მიღწევა","жетістік","완수","жетишкендик","Leeschtung","pasiekimas","sasniegums","достигнување","амжилт","pencapaian","tlestija","အောင်မြင်မှု","उपलब्धि","prestatie","gjennomføring","osiągnięcie","لاسته راوړنه","realização","realizare","достижение","úspech","dosežek","wax qabad","arritje","остварење","prestasi","prestation","mafanikio","комёбй","ความสำเร็จ","üstünlik","tagumpay","başarı","досягнення","کامیابی","muvaffaqiyat","thành tích","成就"
"achievement","achievement","prestasie","ስኬት","إنجاز","প্ৰাপ্তি","nailiyyət","дасягненне","постижение","অর্জন","postignuće","úspěch","præstation","Leistung","ޙާޞިލުވުން","κατόρθωμα","logro","saavutus","دستاورد","saavutus","réalisation","éacht","הֶשֵׂג","उपलब्धि","postignuće","ձեռքբերում","pencapaian","afrek","risultato","業績","prestasi","მიღწევა","жетістік","성취","жетишкендик","Leeschtung","pasiekimas","sasniegums","достигнување","ололт амжилт","pencapaian","kisba","အောင်မြင်မှု","उपलब्धि","prestatie","oppnåelse","osiągnięcie","لاسته راوړنه","conquista","realizare","достижение","úspech","dosežek","guul","arritje","достигнуће","prestasi","prestation","mafanikio","дастовард","ผลสัมฤทธิ์","üstünlik","tagumpay","başarı","досягнення","کامیابی","muvaffaqiyat","thành tựu","成就"
"advancement","advancement","vooruitgang","እድገት","تقدم","উন্নতি","irəliləyiş","прасоўванне","напредък","অগ্রগতি","napredovanje","pokrok","fremgang","Förderung","ކުރިއެރުން","προαγωγή","avance","areng","پیشرفت","edistymistä","avancement","dul chun cinn","הִתקַדְמוּת","उन्नति","napredak","առաջխաղացում","kemajuan","framfarir","avanzamento","アドバンス","kemajuan","წინსვლა","ілгерілеу","진보","прогресс","Fortschrëtt","pažanga","attīstība","напредување","дэвшил","kemajuan","avvanz","တိုးတက်မှု","प्रगति","vooruitgang","forfremmelse","postęp","پرمختګ","avanço","avansare","продвижение","pokrok","napredovanje","horumarinta","avancimi","напредовање","kamajuan","befordran","maendeleo","пешравй","ความก้าวหน้า","öňe gidişlik","pagsulong","ilerleme","просування","ترقی","taraqqiyot","thăng tiến","进步"
"prosperity","prosperity","welvaart","ብልጽግና","ازدهار","সমৃদ্ধি","firavanlıq","росквіту","просперитет","সমৃদ্ধি","prosperitet","prosperita","velstand","der Wohlstand","ތަނަވަސްކަން","ευημερία","prosperidad","heaolu","رفاه","vaurautta","la prospérité","rathúnas","שִׂגשׂוּג","समृद्धि","prosperitet","բարգավաճում","kemakmuran","velmegun","prosperità","繁栄","kamakmuran","კეთილდღეობა","өркендеу","번영","жыргалчылык","Wuelstand","klestėjimas","labklājību","просперитет","хөгжил цэцэглэлт","kemakmuran","prosperità","ချမ်းသာမှု","समृद्धि","voorspoed","velstand","dobrobyt","سوکالي","prosperidade","prosperitate","процветание","blahobytu","blaginja","barwaaqo","prosperitet","просперитет","kamakmuran","välstånd","ustawi","шукуфой","ความเจริญรุ่งเรือง","abadançylyk","kasaganaan","refah","процвітання","خوشحالی","farovonlik","sự phồn vinh","繁荣"
